T,TM,Tm,SLP,H,VV,V,VM
20.3,26.4,16,-,70,6.3,3.1,3.5
20.1,26.4,16.6,-,70,5.5,2.8,3.5
21.2,28.4,15,-,67,6.9,2.4,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.4,30.8,15,-,53,6.9,2.8,3.5
20.7,29.3,15.5,-,65,6.9,5.9,13
21,28,15.8,-,67,6.3,4.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22,30.6,15.6,-,57,6.9,5,5.4
22.4,30.5,17,-,52,7.7,3.9,5.4
22.1,29.5,16.3,-,59,6.9,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
21.8,28.5,16.9,-,68,6.9,5,5.4
20.9,28.1,17,-,66,6.9,3.5,5.4
20.4,27.4,15.2,-,61,6.9,3.9,5.4
,,,,,,,
,,,,,,,
,,,,,,,
22,29.5,16.9,-,58,6.9,3.9,5.4
21.4,29.4,15.5,-,57,6.9,3.3,5.4
21,27.7,16.4,-,61,6.9,3.7,7.6
,,,,,,,
,,,,,,,
,,,,,,,
22,29.4,15.4,-,56,6.9,2.8,7.6
22.2,29.8,17,-,65,6.9,4.8,7.6
22.7,29.7,18,-,59,6.9,3.1,5.4
23,31.4,15.7,-,48,6.9,1.9,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.8,32.6,16.5,-,29,6.9,2.4,5.4
23.6,32.1,15.5,-,35,6.9,2,5.4
23.6,32.7,15.7,-,39,6.9,0,-
,,,,,,,
,,,,,,,
,,,,,,,
24.6,31.8,19,-,54,6.9,2.8,5.4
24.3,31.6,19.2,-,60,6.3,2.4,5.4
24.7,31.6,20.2,-,63,6.3,2.2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
23.4,30.1,19.2,-,65,6.3,4.3,7.6
23,30.1,19.1,-,65,6.3,3.5,3.5
23.9,30.3,19.2,-,63,6.9,2.2,3.5
,,,,,,,
,,,,,,,
,,,,,,,
23.4,30.8,19.7,-,64,6.3,4.4,5.4
24.2,32,19.3,-,49,6.9,4.4,5.4
24.5,32,17.6,-,50,6.9,3.1,5.4
,,,,,,,
23.8,31.1,19.9,-,71,6.9,5,7.6
24.9,32,19.3,-,64,6.9,3.9,5.4
23.8,32,20.2,-,67,6.9,5.2,7.6
,,,,,,,
,,,,,,,
,,,,,,,
23.9,30.6,19.9,-,67,6.9,4.6,5.4
24.6,31.6,18.6,-,61,6.9,4.1,7.6
24.2,31.6,18.2,-,54,6.8,5.4,7.6
,,,,,,,
,,,,,,,
,,,,,,,
24.9,31.8,16.6,-,35,6.9,3.5,5.4
25.3,32.8,19,-,31,6.9,4.1,7.6
25.6,33.1,17.1,-,31,6.9,3.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
27.1,35.4,18.7,-,31,6.9,3.5,5.4
28.2,35.9,20.8,-,33,7.7,0.9,3.5
27.9,35.9,22.4,-,42,6.9,1.1,5.4
,,,,,,,
,,,,,,,
,,,,,,,
27.6,35.3,20.5,-,37,6.9,2.4,5.4
27.3,35.3,20.3,-,38,6.9,2.6,7.6
26.8,34.6,19.4,-,33,6.9,2.2,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.6,36,23.5,-,33,6.9,1.3,3.5
28.3,35.8,21.9,-,49,6.9,2.8,3.5
29.2,35.8,23.4,-,43,6.9,3.3,7.6
28.9,36,23.3,-,40,6.9,3.3,5.4
,,,,,,,
,,,,,,,
,,,,,,,
28.6,36.2,22.3,-,38,6.9,2.4,5.4
