T,TM,Tm,SLP,H,VV,V,VM,date,PM2.5
23.4,30.3,19.0,-,59.0,6.3,4.3,5.4,2013-01-01,284.7958333333333
22.4,30.3,16.9,-,57.0,6.9,3.3,7.6,2013-01-02,219.72083333333333
24.0,31.8,16.9,-,51.0,6.9,2.8,5.4,2013-01-03,182.1875
,,,,,,,,2013-01-04,115.2875
,,,,,,,,2013-01-05,0.0
,,,,,,,,2013-01-06,12.379166666666668
22.8,30.2,17.6,-,55.0,7.7,3.7,7.6,2013-01-07,154.0375
23.1,30.6,17.4,-,46.0,6.9,3.3,5.4,2013-01-08,223.20833333333331
22.9,30.6,17.4,-,51.0,6.9,3.5,3.5,2013-01-09,200.64583333333331
,,,,,,,,2013-01-10,154.875
,,,,,,,,2013-01-11,129.38750000000002
,,,,,,,,2013-01-12,224.2458333333333
22.3,30.1,15.7,-,43.0,6.9,2.8,5.4,2013-01-13,285.225
21.8,30.6,14.8,-,41.0,6.9,1.9,5.4,2013-01-14,236.825
21.6,30.6,14.2,-,43.0,6.9,3.1,7.6,2013-01-15,276.90833333333336
,,,,,,,,2013-01-16,245.65
,,,,,,,,2013-01-17,218.67083333333332
,,,,,,,,2013-01-18,47.825
21.6,29.6,16.4,-,58.0,6.9,2.2,3.5,2013-01-19,108.0
21.9,29.6,16.6,-,58.0,6.9,2.4,5.4,2013-01-20,107.625
22.3,29.9,17.5,-,55.0,6.9,3.1,5.4,2013-01-21,125.89166666666668
,,,,,,,,2013-01-22,179.3083333333333
,,,,,,,,2013-01-23,239.85
,,,,,,,,2013-01-24,220.1916666666667
21.6,29.1,15.5,-,47.0,7.7,4.8,7.6,2013-01-25,181.0125
21.8,29.2,14.6,-,41.0,6.9,2.8,3.5,2013-01-26,152.55416666666667
22.3,30.1,15.6,-,40.0,6.9,2.4,5.4,2013-01-27,152.32083333333333
,,,,,,,,2013-01-28,171.42916666666667
,,,,,,,,2013-01-29,251.375
,,,,,,,,2013-01-30,251.82916666666665
22.1,29.8,17.3,-,54.0,6.9,5.2,9.4,2013-01-31,319.7375
21.6,29.2,15.3,-,51.0,6.9,3.9,5.4,2013-02-01,332.7083333333333
21.4,29.2,15.2,-,45.0,6.9,2.8,5.4,2013-02-02,279.6
21.8,29.6,14.4,-,37.0,7.4,2.2,3.5,2013-02-03,179.11666666666667
,,,,,,,,2013-02-04,166.29999999999998
,,,,,,,,2013-02-05,78.25416666666666
,,,,,,,,2013-02-06,54.958333333333336
24.6,32.2,18.8,-,55.0,6.9,2.2,3.5,2013-02-07,54.79166666666666
24.6,32.2,21.0,-,63.0,5.5,3.9,9.4,2013-02-08,93.375
23.9,31.6,19.0,-,51.0,6.6,5.9,9.4,2013-02-09,103.0
